epi_weeks,cases,avg_temp,avg_humid
567,87,20.9129857143,87.5879571429
568,66,19.6160571429,84.7227714286
569,56,20.9434428571,84.4039428571
570,58,22.3613571429,71.2608714286
571,81,22.8880142857,82.1992571429
572,79,22.1304714286,80.8895571429
573,57,22.1358,81.3701857143
574,74,21.8773,86.5090285714
575,73,21.9331857143,82.4273714286
576,92,20.8639,85.2718857143
577,103,21.0827285714,83.8411428571
578,137,24.9139571429,74.9031428571
579,133,21.8427714286,89.4117857143
580,114,24.1148,73.8544142857
581,147,24.1078,71.991
582,110,25.4376142857,67.6983571429
583,98,23.9478857143,67.8496428571
584,110,23.4559285714,68.1571142857
585,120,22.8587714286,82.5462714286
586,104,20.9255,85.9814
587,126,21.5759428571,82.3089571429
588,123,21.8875285714,84.3247857143
589,104,19.0617571429,82.312
590,88,20.3978285714,84.6372857143
591,87,19.4563142857,86.1532285714
592,90,18.5311857143,83.0949
593,108,19.2564714286,75.2601142857
594,70,16.8911,84.2864714286
595,49,18.6277857143,75.1310285714
596,49,17.7029857143,80.1931714286
597,31,18.1052428571,80.5746
598,25,14.6790285714,84.5020857143
599,18,16.1972571429,71.0995
600,15,17.1381571429,78.638
601,7,15.5401428571,83.9480571429
602,21,14.8722285714,79.4332857143
603,21,15.7395285714,73.7267714286
604,37,16.2920285714,79.9169428571
605,22,15.0873714286,72.5015714286
606,29,16.7898714286,71.4583285714
607,28,14.2988285714,77.2870571429
608,34,19.0458142857,69.6280714286
609,18,18.5333428571,77.6864
610,14,18.0402571429,73.5143428571
611,14,18.5099142857,77.4670571429
612,30,19.1613857143,74.4618142857
613,15,17.4127142857,78.1946714286
614,18,19.8891428571,68.0351571429
615,19,19.5554285714,76.7241714286
616,24,21.2745428571,78.5051714286
617,28,15.6028428571,76.2286571429
618,19,20.2407142857,81.0575285714
619,13,20.7756285714,84.1867
620,5,18.796814285700002,78.3690571429
621,7,20.8494714286,76.7533571429
622,2,19.7164,80.2732857143
623,0,21.6459428571,78.6793142857
624,0,22.574025,79.294025
